ranking_cat_name,ranking_name,published,athlete_id,athlete_title,athlete_gender,updated_at,athlete_country_name,athlete_noc,rank,last_rank,change
world rankings,elite men,2025-02-26 11:44:37,104034,hayden wilde,male,2025-02-17 02:00:07,new zealand,nzl,1,1,0
world rankings,elite men,2025-02-26 11:44:37,63162,léo bergere,male,2025-02-27 10:27:39,france,fra,2,2,0
world rankings,elite men,2025-02-26 11:44:37,96742,alex yee,male,2025-02-21 14:24:23,great britain,gbr,3,3,0
world rankings,elite men,2025-02-26 11:44:37,80795,matthew hauser,male,2025-01-09 23:41:18,australia,aus,4,4,0
world rankings,elite men,2025-02-26 11:44:37,30249,pierre le corre,male,2025-02-23 14:27:11,france,fra,5,5,0
world rankings,elite men,2025-02-26 11:44:37,94446,csongor lehmann,male,2025-02-24 08:12:12,hungary,hun,6,6,0
world rankings,elite men,2025-02-26 11:44:37,105480,miguel hidalgo,male,2024-12-19 11:59:59,brazil,bra,7,7,0
world rankings,elite men,2025-02-26 11:44:37,86042,vasco vilaca,male,2025-02-10 14:55:59,portugal,por,8,8,0
world rankings,elite men,2025-02-26 11:44:37,55495,luke willian,male,2025-02-21 00:58:42,australia,aus,9,9,0
world rankings,elite men,2025-02-26 11:44:37,11143,vincent luis,male,2025-02-24 13:51:49,france,fra,10,10,0
world rankings,elite men,2025-02-26 11:44:37,74419,alberto gonzalez garcia,male,2024-12-27 14:50:18,spain,esp,11,11,0
world rankings,elite men,2025-02-26 11:44:37,39264,kenji nener,male,2025-01-21 15:43:59,japan,jpn,12,12,0
world rankings,elite men,2025-02-26 11:44:37,96040,vetle bergsvik thorn,male,2025-02-24 08:52:25,norway,nor,13,13,0
world rankings,elite men,2025-02-26 11:44:37,54985,tayler reid,male,2025-01-14 23:04:24,new zealand,nzl,14,14,0
world rankings,elite men,2025-02-26 11:44:37,123392,morgan pearson,male,2025-02-13 16:55:36,united states,usa,15,17,2
world rankings,elite men,2025-02-26 11:44:37,98121,ricardo batista,male,2025-02-23 17:51:47,portugal,por,16,15,-1
world rankings,elite men,2025-02-26 11:44:37,104983,max stapley,male,2025-02-21 14:28:10,great britain,gbr,17,18,1
